county,total_articles,civic_life_percent,civic_life_count,civic_information_percent,civic_information_count,economic_development_percent,economic_development_count,education_percent,education_count,emergencies_and_public_safety_percent,emergencies_and_public_safety_count,environment_and_planning_percent,environment_and_planning_count,health_percent,health_count,political_life_percent,political_life_count,sports_percent,sports_count,transportation_systems_percent,transportation_systems_count
Adair,16,37.50,6,0.00,0,6.25,1,0.00,0,12.50,2,0.00,0,0.00,0,6.25,1,37.50,6,0.00,0
Atchinson,12,66.67,8,16.67,2,0.00,0,8.33,1,0.00,0,8.33,1,0.00,0,0.00,0,0.00,0,0.00,0
Audrain,34,32.35,11,17.65,6,0.00,0,0.00,0,11.76,4,2.94,1,0.00,0,2.94,1,32.35,11,0.00,0
Barry,12,66.67,8,0.00,0,0.00,0,0.00,0,8.33,1,0.00,0,0.00,0,0.00,0,16.67,2,8.33,1
Benton,11,54.55,6,9.09,1,0.00,0,0.00,0,0.00,0,9.09,1,0.00,0,0.00,0,27.27,3,0.00,0
Boone,90,24.44,22,21.11,19,0.00,0,7.78,7,6.67,6,2.22,2,3.33,3,8.89,8,24.44,22,1.11,1
Brookfield,4,0.00,0,75.00,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,25.00,1,0.00,0
Buchanan,15,20.00,3,6.67,1,6.67,1,0.00,0,20.00,3,6.67,1,0.00,0,26.67,4,6.67,1,6.67,1
Butler,34,23.53,8,17.65,6,5.88,2,5.88,2,8.82,3,0.00,0,2.94,1,26.47,9,8.82,3,0.00,0
Callaway,15,20.00,3,20.00,3,0.00,0,6.67,1,6.67,1,6.67,1,6.67,1,6.67,1,26.67,4,0.00,0
Camden,23,86.96,20,4.35,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,8.70,2,0.00,0
Cape Giradeau,21,47.62,10,0.00,0,4.76,1,0.00,0,4.76,1,4.76,1,9.52,2,19.05,4,9.52,2,0.00,0
Cape Girardeau,59,16.95,10,11.86,7,1.69,1,8.47,5,15.25,9,3.39,2,3.39,2,16.95,10,18.64,11,3.39,2
Cass,10,40.00,4,30.00,3,0.00,0,10.00,1,0.00,0,0.00,0,0.00,0,20.00,2,0.00,0,0.00,0
Cedar,16,81.25,13,0.00,0,0.00,0,6.25,1,0.00,0,0.00,0,0.00,0,6.25,1,0.00,0,6.25,1
Christian,20,65.00,13,5.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,30.00,6,0.00,0
Clark,8,62.50,5,12.50,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,25.00,2,0.00,0
Clay,21,28.57,6,19.05,4,0.00,0,0.00,0,4.76,1,4.76,1,9.52,2,9.52,2,23.81,5,0.00,0
Cole,48,29.17,14,25.00,12,2.08,1,6.25,3,0.00,0,2.08,1,4.17,2,20.83,10,10.42,5,0.00,0
Cooper,13,15.38,2,15.38,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,69.23,9,0.00,0
Dallas,10,80.00,8,0.00,0,20.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
Dunklin,23,52.17,12,17.39,4,4.35,1,4.35,1,4.35,1,0.00,0,0.00,0,0.00,0,17.39,4,0.00,0
Franklin,24,25.00,6,8.33,2,0.00,0,0.00,0,25.00,6,0.00,0,0.00,0,4.17,1,37.50,9,0.00,0
Gasconade,32,40.62,13,28.12,9,0.00,0,0.00,0,6.25,2,0.00,0,0.00,0,6.25,2,15.62,5,3.12,1
Greene,101,42.57,43,4.95,5,0.99,1,3.96,4,8.91,9,10.89,11,0.99,1,2.97,3,21.78,22,1.98,2
Henry,15,26.67,4,20.00,3,6.67,1,6.67,1,6.67,1,6.67,1,6.67,1,0.00,0,20.00,3,0.00,0
Howell,23,73.91,17,8.70,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,17.39,4,0.00,0
Jackson,20,35.00,7,25.00,5,0.00,0,5.00,1,0.00,0,0.00,0,5.00,1,20.00,4,10.00,2,0.00,0
Jasper,46,21.74,10,15.22,7,2.17,1,0.00,0,15.22,7,6.52,3,2.17,1,6.52,3,23.91,11,6.52,3
Jefferson,18,0.00,0,38.89,7,5.56,1,0.00,0,27.78,5,0.00,0,0.00,0,22.22,4,0.00,0,5.56,1
Johnson,30,73.33,22,6.67,2,0.00,0,0.00,0,13.33,4,0.00,0,0.00,0,0.00,0,6.67,2,0.00,0
Kansas City,7,100.00,7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
Knox,6,83.33,5,16.67,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
Laclede,11,72.73,8,27.27,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
Lawrence,2,50.00,1,50.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
Livingston,8,25.00,2,0.00,0,25.00,2,0.00,0,0.00,0,0.00,0,12.50,1,0.00,0,37.50,3,0.00,0
Maries,21,19.05,4,33.33,7,0.00,0,0.00,0,4.76,1,0.00,0,4.76,1,9.52,2,28.57,6,0.00,0
Marion,13,38.46,5,23.08,3,0.00,0,0.00,0,7.69,1,0.00,0,0.00,0,0.00,0,30.77,4,0.00,0
McDonald,18,16.67,3,11.11,2,5.56,1,5.56,1,11.11,2,0.00,0,0.00,0,11.11,2,38.89,7,0.00,0
Moniteau,14,42.86,6,7.14,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,7.14,1,42.86,6,0.00,0
Montgomery,20,50.00,10,20.00,4,0.00,0,5.00,1,0.00,0,0.00,0,0.00,0,0.00,0,20.00,4,5.00,1
Newton,24,8.33,2,16.67,4,0.00,0,0.00,0,25.00,6,4.17,1,4.17,1,4.17,1,29.17,7,8.33,2
Nodaway,38,23.68,9,15.79,6,0.00,0,5.26,2,2.63,1,2.63,1,2.63,1,7.89,3,39.47,15,0.00,0
Oregon,8,0.00,0,37.50,3,0.00,0,12.50,1,12.50,1,0.00,0,0.00,0,25.00,2,12.50,1,0.00,0
Osage,21,14.29,3,28.57,6,0.00,0,4.76,1,9.52,2,4.76,1,0.00,0,4.76,1,33.33,7,0.00,0
Ozark,11,90.91,10,9.09,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
Pettis,19,63.16,12,0.00,0,0.00,0,0.00,0,26.32,5,0.00,0,0.00,0,5.26,1,5.26,1,0.00,0
Phelps,16,25.00,4,12.50,2,0.00,0,0.00,0,18.75,3,0.00,0,12.50,2,6.25,1,25.00,4,0.00,0
Pike,15,46.67,7,13.33,2,0.00,0,0.00,0,13.33,2,0.00,0,0.00,0,6.67,1,20.00,3,0.00,0
Platte,16,37.50,6,25.00,4,0.00,0,0.00,0,0.00,0,6.25,1,0.00,0,31.25,5,0.00,0,0.00,0
Polk,8,62.50,5,0.00,0,12.50,1,0.00,0,0.00,0,0.00,0,0.00,0,25.00,2,0.00,0,0.00,0
Pulaski,5,0.00,0,0.00,0,0.00,0,0.00,0,20.00,1,20.00,1,0.00,0,0.00,0,0.00,0,60.00,3
R,9,66.67,6,22.22,2,0.00,0,11.11,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
Ray,8,25.00,2,37.50,3,0.00,0,12.50,1,12.50,1,0.00,0,0.00,0,0.00,0,0.00,0,12.50,1
Ripley,18,44.44,8,22.22,4,0.00,0,5.56,1,16.67,3,0.00,0,0.00,0,0.00,0,11.11,2,0.00,0
Saline,9,33.33,3,44.44,4,0.00,0,0.00,0,11.11,1,0.00,0,0.00,0,0.00,0,11.11,1,0.00,0
Scotl,8,25.00,2,50.00,4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,12.50,1,12.50,1,0.00,0
Scott,52,32.69,17,11.54,6,1.92,1,1.92,1,13.46,7,1.92,1,5.77,3,19.23,10,11.54,6,0.00,0
Shelby,12,16.67,2,0.00,0,0.00,0,0.00,0,8.33,1,0.00,0,0.00,0,0.00,0,75.00,9,0.00,0
St. Charles,3,0.00,0,66.67,2,0.00,0,0.00,0,0.00,0,33.33,1,0.00,0,0.00,0,0.00,0,0.00,0
St. Francois,34,23.53,8,26.47,9,0.00,0,2.94,1,2.94,1,0.00,0,5.88,2,5.88,2,32.35,11,0.00,0
St. Louis,92,33.70,31,11.96,11,1.09,1,0.00,0,19.57,18,5.43,5,2.17,2,10.87,10,14.13,13,1.09,1
Ste. Genevieve,8,62.50,5,12.50,1,0.00,0,0.00,0,0.00,0,0.00,0,12.50,1,0.00,0,0.00,0,12.50,1
Sullivan,5,60.00,3,40.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
Taney,31,45.16,14,9.68,3,3.23,1,0.00,0,0.00,0,0.00,0,6.45,2,19.35,6,9.68,3,6.45,2
Texas,12,16.67,2,8.33,1,0.00,0,0.00,0,16.67,2,16.67,2,0.00,0,16.67,2,25.00,3,0.00,0
Unknown,52,1.92,1,19.23,10,3.85,2,7.69,4,1.92,1,0.00,0,15.38,8,48.08,25,1.92,1,0.00,0
Vernon,14,64.29,9,7.14,1,0.00,0,0.00,0,0.00,0,7.14,1,0.00,0,7.14,1,14.29,2,0.00,0
Warren,23,26.09,6,21.74,5,0.00,0,0.00,0,8.70,2,8.70,2,4.35,1,4.35,1,17.39,4,8.70,2
Webster,30,60.00,18,3.33,1,3.33,1,0.00,0,6.67,2,0.00,0,10.00,3,6.67,2,6.67,2,3.33,1
Wy,109,35.78,39,15.60,17,4.59,5,0.92,1,22.94,25,4.59,5,0.92,1,7.34,8,6.42,7,0.92,1
olph,9,66.67,6,22.22,2,0.00,0,11.11,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
otte,109,35.78,39,15.60,17,4.59,5,0.92,1,22.94,25,4.59,5,0.92,1,7.34,8,6.42,7,0.92,1
